acknowledgement_issue_title,network_abbr_name,acknowledgement_date_added,cds_cloud,is_hidden,start_time,time_active,description,node_ticketing_cloud,external_network_id,is_lightweight,time_to_acknowledge,nagios_url,issue_url,acknowledgement_username,external_project_id,external_issue_id,color,service_name,service_group,external_node_id,device,is_alert_stale,external_interface_id,classify_is_oncall,date_added,acknowledgement_description,host_group,alert_id,end_time,is_major_event,last_updated,acknowledgement_alert_membership_id,external_bgp_peer_id,node_name,duration,ticketing_url,network_id,host_check_pending_duration,network_name,agent_username,acknowledgement_ticketing_cloud,acknowledgement_is_classify_ticket_auto_create,network_display_name,database_url,acknowledgement_id,acknowledgement_user_id,agent_name,node_id,acknowledgement_is_active,root_cause_alert_id,flaps,severity,num_flaps,acknowledgement_external_project_id,network_profiles,agent_is_active,agent_id
NA,AMP,NA,GlobalNOC,0,2024-12-15T11:09:39Z,82,MON FIU020-Atlantic Admin Status: UP Operational Status: DOWN,GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,red,Interface - 14,NA,46792,14,0,2908240,0,2024-12-15T11:10:08Z,NA,Ampath Layer 2,196580042,2024-12-15T11:11:30Z,0,2024-12-15T11:10:54Z,NA,NA,MIA-MI1-SW14,111,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579567002,NA,NA,,Critical,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-15T10:19:11Z,4,"Error performing SNMP query for description to 190.103.186.149: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 30,NA,43806,30,0,2875348,0,2024-12-15T10:20:39Z,NA,Ampath Layer 2,196579552,2024-12-15T10:20:43Z,0,2024-12-15T10:20:39Z,NA,NA,SAO-SP4-SW03,92,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579535031,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-14T23:31:02Z,23,"Error performing SNMP query for description to 10.255.232.2: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 31,NA,48268,31,0,2898754,0,2024-12-14T23:32:08Z,NA,Ampath Layer 2,196568222,2024-12-14T23:32:31Z,0,2024-12-14T23:32:08Z,NA,NA,SCL-CIR-SW04,89,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579599592,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-14T21:26:34Z,37,"Error performing SNMP query for description to 190.103.186.155: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 2,NA,46789,2,0,2796574,0,2024-12-14T21:27:48Z,NA,Ampath Layer 2,196565962,2024-12-14T21:28:25Z,0,2024-12-14T21:27:48Z,NA,NA,SJU-H787-SW03,111,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579566992,NA,NA,,Unknown,0,NA,,1,19
Availability - Ampath Peer UVI,AMP,1734184028,GlobalNOC,0,2024-12-14T13:40:44Z,1501,BGP to [MON]UVI-STX is down (State: Connect).,GlobalNOC,7,0,345,https://nocmon.grnoc.iu.edu/nagios/,https://globalnoc.service-now.com/nav_to.do?uri=incident.do?sys_id=c8c41dc0c3229250c2ad319f05013132,rivemi,59,INC0196853,red,BGP - 190.103.185.162 - 190.103.185.163,NA,21847,190.103.185.162 - 190.103.185.163,0,NA,0,2024-12-14T13:41:23Z,NA,Ampath Layer 3,196546532,2024-12-14T14:06:24Z,0,2024-12-14T14:04:57Z,99811132,28285,MIA-MI1-RT04,1540,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,GlobalNOC,0,AMP,https://db2.grnoc.iu.edu/db-gnui,40911932,28542,nocmon,575034521,1,NA,,Critical,0,59,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-14T11:57:34Z,77,"Error performing SNMP query for description to 190.103.186.156: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 2,NA,46792,2,0,2796580,0,2024-12-14T11:58:31Z,NA,Ampath Layer 2,196541682,2024-12-14T11:59:48Z,0,2024-12-14T11:58:31Z,NA,NA,MIA-MI1-SW14,134,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579567002,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-14T09:10:55Z,22,"Error performing SNMP query for description to 192.168.220.3: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 31,NA,47620,31,0,2989815,0,2024-12-14T09:12:09Z,NA,Ampath Layer 2,196536352,2024-12-14T09:12:31Z,0,2024-12-14T09:12:09Z,NA,NA,ATL-LUM-SW01,96,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579579362,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-14T01:20:18Z,56,MON SAO-SP4-SW03 port 2 - Monet shared Admin Status: UP Operational Status: DOWN,GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,red,Interface - 30,NA,47064,30,0,2806248,0,2024-12-14T01:20:46Z,NA,Ampath Layer 2,196526862,2024-12-14T01:21:42Z,0,2024-12-14T01:20:46Z,NA,NA,BCT-MI3-SW04,84,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579569572,NA,NA,,Critical,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-14T00:12:48Z,23,"Error performing SNMP query for description to 190.103.186.157: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 30,NA,46795,30,0,2825092,0,2024-12-14T00:14:00Z,NA,Ampath Layer 2,196525402,2024-12-14T00:14:23Z,0,2024-12-14T00:14:00Z,NA,NA,MIA-MI1-SW15,95,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579567012,NA,NA,,Unknown,0,NA,,1,19
NA,AMP,NA,GlobalNOC,0,2024-12-13T23:57:49Z,10,"Error performing SNMP query for description to 190.103.186.147: No response from remote host ""190.103.186.57""",GlobalNOC,7,0,NA,https://nocmon.grnoc.iu.edu/nagios/,NA,NA,59,NA,orange,Interface - 19,NA,47061,19,0,2827387,0,2024-12-13T23:59:12Z,NA,Ampath Layer 2,196525162,2024-12-13T23:59:22Z,0,2024-12-13T23:59:12Z,NA,NA,BCT-MI3-SW03,93,https://globalnoc.service-now.com,9,300,AMPATH,alertmon-nocmon,NA,NA,AMP,https://db2.grnoc.iu.edu/db-gnui,NA,NA,nocmon,579569562,NA,NA,,Unknown,0,NA,,1,19
